,text,id,keywords,classification,fbi,donald,indicted
0,hillary will win .. trust me #feelthemath #imwithher,739335885477400580,[],0,0,0,0
1,rt while bs waits for hillary to be indicted wishful thinking he should be more concerned about his own indictment,739335885892780032,['indicted'],1,0,0,1
2,rt congratulations to hillary for destroying #lyingbernie in the virgin islands caucus she got 86.5 of the vote ...,739335887222235136,[],0,0,0,0
3,experience is hillary clinton's biggest advantage over donald trump ...,739335885968134145,"['biggest', 'donald', 'advantage']",1,0,1,0
4,rt hillary you have great support all experts agree that gun control works #neverhillary #2a,739335888585392128,['support'],0,0,0,0
5,1 crisis of character a white house secret service officer discloses his firsthand experience with hillary ...,739335890791600129,[],0,0,0,0
6,rt hillary clinton,739335894033936384,[],0,0,0,0
7,rt there r more fbi agents investigating hillary than there r people at her rallies that says a lot #neverhillary 🔥,739335896718184449,"['lot', 'fbi']",1,1,0,0
8,rt please rt twitter wont let this article be displayed #electionfraud #exitpollgate,739335897074651136,['let'],0,0,0,0
9,rt i heard hillary schooled trump on foreign policy recently didn't realize her foreign policy of supporting dictators and …,739335901000523776,"['support', 'schooled', 'didn']",0,0,0,0
